,antecedents,consequents,support,confidence,lift
0,ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS,ESTATUS_VICTIMA=DESAPARECIDA,0.0542995212380589,0.6015721969383533,1.0082835308957736
7,SEXO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
8,ESTATUS_VICTIMA=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
9,ENTIDAD=JALISCO,SEXO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
10,SEXO=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
11,MUNICIPIO=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
12,SEXO=HOMBRE,ESTATUS_VICTIMA=DESAPARECIDA,0.4541889802594725,0.940370519283704,1.5761368500060997
13,ESTATUS_VICTIMA=DESAPARECIDA,SEXO=HOMBRE,0.4541889802594725,0.7612573703383783,1.5761368500060997
14,GRUPO_EDAD=50+,SEXO=HOMBRE,0.0791114895396864,0.8756613756613757,1.8130033495681597
15,GRUPO_EDAD=31-50,SEXO=HOMBRE,0.1670811953363657,0.8328989500335096,1.7244663613511968
16,SEXO=HOMBRE,GRUPO_EDAD=31-50,0.1670811953363657,0.3459314013546531,1.7244663613511968
17,GRUPO_EDAD=18-30,SEXO=HOMBRE,0.0634415589265574,0.6781636726546906,1.4040964284278996
18,SEXO=MUJER,ESTATUS_VICTIMA=DESAPARECIDA,0.139796992986623,0.9493304930006088,1.5911544887566815
19,ENTIDAD=JALISCO,ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
20,ESTATUS_VICTIMA=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
21,MUNICIPIO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
22,ENTIDAD=ESTADO DE MÉXICO,ESTATUS_VICTIMA=DESAPARECIDA,0.0775131267412071,0.7235080870050195,1.2126579192153455
23,ENTIDAD=TAMAULIPAS,ESTATUS_VICTIMA=DESAPARECIDA,0.0608423521327686,0.6055605114481118,1.014968267751447
24,GRUPO_EDAD=50+,ESTATUS_VICTIMA=DESAPARECIDA,0.0841455854563923,0.9313822751322752,1.56107182772668
25,GRUPO_EDAD=31-50,ESTATUS_VICTIMA=DESAPARECIDA,0.1881885470583402,0.9381189962022488,1.5723631156912217
26,ESTATUS_VICTIMA=DESAPARECIDA,GRUPO_EDAD=31-50,0.1881885470583402,0.3154191860392333,1.5723631156912217
27,GRUPO_EDAD=18-30,ESTATUS_VICTIMA=DESAPARECIDA,0.0874543458289453,0.9348502994011976,1.5668845161668998
28,AÑO_DESAPARICION=2025.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0511774854914965,0.9985426989215972,1.6736381158287437
29,AÑO_DESAPARICION=2024.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0598415081374592,0.9960218796618596,1.6694130193949426
30,ENTIDAD=JALISCO,MUNICIPIO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
32,"ENTIDAD=TAMAULIPAS', 'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS",ESTATUS_VICTIMA=DESAPARECIDA,0.0539335409711174,0.6014492753623188,1.0080775044182568
36,"SEXO=CONFIDENCIAL', 'ENTIDAD=JALISCO",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
37,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
38,ENTIDAD=JALISCO,"SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
39,"SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
40,"SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
